-0.5087 0.6821 0.0717
-0.5176 0.6647 0.0638
-0.4999 0.6821 0.1391
-0.7008 0.6434 0.0000
-0.6141 0.6458 0.0000
-0.6148 0.6511 0.0399
-0.7008 0.6434 0.0000
-0.6148 0.6511 0.0399
-0.7040 0.6486 0.0399
-0.7697 0.6371 0.0000
-0.7008 0.6434 0.0000
-0.7040 0.6486 0.0399
-0.7697 0.6371 0.0000
-0.7040 0.6486 0.0399
-0.7748 0.6418 0.0399
-0.8201 0.6248 0.0000
-0.7697 0.6371 0.0000
-0.7748 0.6418 0.0399
-0.8201 0.6248 0.0000
-0.7748 0.6418 0.0399
-0.8263 0.6286 0.0399
-0.8510 0.6046 0.0000
-0.8201 0.6248 0.0000
-0.8263 0.6286 0.0399
-0.8510 0.6046 0.0000
-0.8263 0.6286 0.0399
-0.8579 0.6068 0.0399
-0.8615 0.5743 0.0000
-0.8510 0.6046 0.0000
-0.8579 0.6068 0.0399
-0.8615 0.5743 0.0000
-0.8579 0.6068 0.0399
-0.8686 0.5743 0.0399
-0.5267 0.6514 0.0399
-0.5176 0.6647 0.0638
-0.6148 0.6511 0.0399
-0.7040 0.6486 0.0399
-0.6148 0.6511 0.0399
-0.6168 0.6643 0.0638
-0.7040 0.6486 0.0399
-0.6168 0.6643 0.0638
-0.7121 0.6614 0.0638
-0.7748 0.6418 0.0399
-0.7040 0.6486 0.0399
-0.7121 0.6614 0.0638
-0.7748 0.6418 0.0399
-0.7121 0.6614 0.0638
-0.7873 0.6534 0.0638
-0.8263 0.6286 0.0399
-0.7748 0.6418 0.0399
-0.7873 0.6534 0.0638
-0.8263 0.6286 0.0399
-0.7873 0.6534 0.0638
-0.8419 0.6379 0.0638
-0.8579 0.6068 0.0399
-0.8263 0.6286 0.0399
-0.8419 0.6379 0.0638
-0.8579 0.6068 0.0399
-0.8419 0.6379 0.0638
-0.8751 0.6124 0.0638
-0.8686 0.5743 0.0399
-0.8579 0.6068 0.0399
-0.8751 0.6124 0.0638
-0.8686 0.5743 0.0399
-0.8751 0.6124 0.0638
-0.8863 0.5743 0.0638
-0.5087 0.6821 0.0717
-0.6194 0.6815 0.0718
-0.6168 0.6643 0.0638
-0.7121 0.6614 0.0638
-0.6168 0.6643 0.0638
-0.6194 0.6815 0.0718
-0.7121 0.6614 0.0638
-0.6194 0.6815 0.0718
-0.7226 0.6780 0.0718
-0.7873 0.6534 0.0638
-0.7121 0.6614 0.0638
-0.7226 0.6780 0.0718
-0.7873 0.6534 0.0638
-0.7226 0.6780 0.0718
-0.8036 0.6685 0.0718
-0.8419 0.6379 0.0638
-0.7873 0.6534 0.0638
-0.8036 0.6685 0.0718
-0.8419 0.6379 0.0638
-0.8036 0.6685 0.0718
-0.8621 0.6501 0.0718
-0.8751 0.6124 0.0638
-0.8419 0.6379 0.0638
-0.8621 0.6501 0.0718
-0.8751 0.6124 0.0638
-0.8621 0.6501 0.0718
-0.8974 0.6197 0.0718
-0.8863 0.5743 0.0638
-0.8751 0.6124 0.0638
-0.8974 0.6197 0.0718
-0.8863 0.5743 0.0638
-0.8974 0.6197 0.0718
-0.9093 0.5743 0.0718
-0.4618 0.7658 -0.1285
-0.4985 0.7125 -0.0399
-0.4786 0.7658 0.0000
-0.7226 0.6780 0.0718
-0.6194 0.6815 0.0718
-0.6220 0.6987 0.0638
-0.7226 0.6780 0.0718
-0.6220 0.6987 0.0638
-0.7332 0.6947 0.0638
-0.8036 0.6685 0.0718
-0.7226 0.6780 0.0718
-0.7332 0.6947 0.0638
-0.8036 0.6685 0.0718
-0.7332 0.6947 0.0638
-0.8200 0.6837 0.0638
-0.8621 0.6501 0.0718
-0.8036 0.6685 0.0718
-0.8200 0.6837 0.0638
-0.8621 0.6501 0.0718
-0.8200 0.6837 0.0638
-0.8823 0.6623 0.0638
-0.8974 0.6197 0.0718
-0.8621 0.6501 0.0718
-0.8823 0.6623 0.0638
-0.8974 0.6197 0.0718
-0.8823 0.6623 0.0638
-0.9198 0.6270 0.0638
-0.9093 0.5743 0.0718
-0.8974 0.6197 0.0718
-0.9198 0.6270 0.0638
-0.9093 0.5743 0.0718
-0.9198 0.6270 0.0638
-0.9324 0.5743 0.0638
-0.4786 0.7658 0.0000
-0.5013 0.7178 0.0000
-0.4985 0.7125 0.0399
-0.7332 0.6947 0.0638
-0.6220 0.6987 0.0638
